"dates","imported","local"
"2020-01-25",1,0
"2020-01-26",0,0
"2020-01-27",0,0
"2020-01-28",0,0
"2020-01-29",0,0
"2020-01-30",0,0
"2020-01-31",1,0
"2020-02-01",0,0
"2020-02-02",1,0
"2020-02-03",0,0
"2020-02-04",0,0
"2020-02-05",0,0
"2020-02-06",0,0
"2020-02-07",0,0
"2020-02-08",1,0
"2020-02-09",0,0
"2020-02-10",0,0
"2020-02-11",0,0
"2020-02-12",0,0
"2020-02-13",0,0
"2020-02-14",0,0
"2020-02-15",0,0
"2020-02-16",0,0
"2020-02-17",0,0
"2020-02-18",0,0
"2020-02-19",0,0
"2020-02-20",0,0
"2020-02-21",0,0
"2020-02-22",0,0
"2020-02-23",0,0
"2020-02-24",0,0
"2020-02-25",0,0
"2020-02-26",0,0
"2020-02-27",0,0
"2020-02-28",0,0
"2020-02-29",0,0
"2020-03-01",0,0
"2020-03-02",1,0
"2020-03-03",0,0
"2020-03-04",0,0
"2020-03-05",1,0
"2020-03-06",1,0
"2020-03-07",2,0
"2020-03-08",2,0
"2020-03-09",1,2
"2020-03-10",11,1
"2020-03-11",10,0
"2020-03-12",9,3
"2020-03-13",10,2
"2020-03-14",7,4
"2020-03-15",11,1
"2020-03-16",13,4
"2020-03-17",17,5
"2020-03-18",27,7
"2020-03-19",30,4
"2020-03-20",38,12
"2020-03-21",34,9
"2020-03-22",36,16
"2020-03-23",34,14
"2020-03-24",25,13
"2020-03-25",32,18
"2020-03-26",23,14
"2020-03-27",31,21
"2020-03-28",18,23
"2020-03-29",14,23
"2020-03-30",20,25
"2020-03-31",11,26
"2020-04-01",16,17
"2020-04-02",6,9
"2020-04-03",11,15
"2020-04-04",9,13
"2020-04-05",6,10
"2020-04-06",7,8
"2020-04-07",7,5
"2020-04-08",4,10
"2020-04-09",5,5
"2020-04-10",3,1
"2020-04-11",4,3
"2020-04-12",2,1
"2020-04-13",3,0
"2020-04-14",1,1
