"dates","means","Low","High","Type","country"
2020-01-18,1.00917835763031,4.1978376501751e-05,3.01290240517429,"Error 2","hongkong"
2020-01-18,1.01767699500886,3.93117179593264e-05,3.02685029881141,"Error 1","hongkong"
2020-01-19,0.927532571406693,0.000175594771057608,2.7202253690812,"Error 2","hongkong"
2020-01-19,0.961368333471485,6.09912719161556e-09,2.88000226533589,"No misidentification","hongkong"
2020-01-19,0.976327395102726,0.000345223582792875,2.97673806500987,"Error 1","hongkong"
2020-01-20,0.871516494008232,0.000602930667169599,2.64747504902249,"Error 1","hongkong"
2020-01-20,0.887266733666485,5.62901072680453e-09,2.65801370187574,"No misidentification","hongkong"
2020-01-20,0.894030895581519,0.000109085949865084,2.69680080996444,"Error 2","hongkong"
2020-01-21,0.795019219049793,0.00010506171635527,2.27868346512273,"Error 2","hongkong"
2020-01-21,0.846024501857907,5.36736115014508e-09,2.5344630117804,"No misidentification","hongkong"
2020-01-21,0.857414852974318,0.000487158311878733,2.58684119765245,"Error 1","hongkong"
2020-01-22,2.16129820870542,0.16884269713362,4.52702592910259,"Error 1","hongkong"
2020-01-22,2.17563551019174,0.220102165524657,4.64224196674394,"No misidentification","hongkong"
2020-01-22,2.19893363115618,0.1609777932091,4.6877354397588,"Error 2","hongkong"
2020-01-23,0.615634557061704,0.000356129815047068,1.86759446862537,"Error 2","hongkong"
2020-01-23,1.13890330035798,0.0467391872899312,2.65609404036162,"Error 1","hongkong"
2020-01-23,1.16498790699982,0.0246763680666747,2.77568167400752,"No misidentification","hongkong"
2020-01-24,0.475284796454721,0.000326316247401814,1.40696479138544,"Error 1","hongkong"
2020-01-24,0.477917454338838,1.93847245948398e-05,1.43517070279442,"Error 2","hongkong"
2020-01-24,0.484034376287724,3.07081804476837e-09,1.45003746397108,"No misidentification","hongkong"
2020-01-25,1.66046264698699,0.329856115292523,3.30927773249887,"Error 2","hongkong"
2020-01-25,1.68357608514267,0.299887328286641,3.34539031697983,"No misidentification","hongkong"
2020-01-25,2.07293859719458,0.464312623199831,3.95285338481628,"Error 1","hongkong"
2020-01-26,0.803265812948693,0.0240362813149679,1.8421454663156,"Error 1","hongkong"
2020-01-26,0.804313928600306,0.0170366974814674,1.91634558466112,"No misidentification","hongkong"
2020-01-26,0.805867714412114,0.00689398530464347,1.9527772245582,"Error 2","hongkong"
2020-01-27,0.369158681219373,2.34202196208785e-09,1.10590062223195,"No misidentification","hongkong"
2020-01-27,0.373087914095215,0.00088769884310036,1.1440215782939,"Error 1","hongkong"
2020-01-27,0.378720957902681,0.0012577109484736,1.12163778562917,"Error 2","hongkong"
2020-01-28,1.87518190059574,0.452653950680241,3.53667444395644,"No misidentification","hongkong"
2020-01-28,1.87631700904608,0.436276539795118,3.50081716954739,"Error 2","hongkong"
2020-01-28,2.27032618107897,0.639490547359623,4.07295736783957,"Error 1","hongkong"
2020-01-29,1.49109964909688,0.262245496758947,2.93129042729434,"Error 2","hongkong"
2020-01-29,1.50296645769274,0.267716202124907,2.98650561663537,"No misidentification","hongkong"
2020-01-29,1.51357309363402,0.279324528860616,3.02124723613417,"Error 1","hongkong"
2020-01-30,3.34796312989424,1.44580560422764,5.5486443758266,"Error 1","hongkong"
2020-01-30,3.35869562957643,1.44157991889603,5.47588865290968,"No misidentification","hongkong"
2020-01-30,3.36390825452585,1.51338720617809,5.45426606393604,"Error 2","hongkong"
2020-01-31,0.869799189211445,0.0900677228804871,1.87337964960632,"Error 1","hongkong"
2020-01-31,0.870250705275672,0.0880405122476811,1.856889321164,"No misidentification","hongkong"
2020-01-31,0.892614144917114,0.0833009205463338,1.87065316200473,"Error 2","hongkong"
2020-02-01,1.21437745443406,0.327985002807748,2.34953567452737,"Error 2","hongkong"
2020-02-01,1.21855372353818,0.294149147291892,2.29824520557607,"No misidentification","hongkong"
2020-02-01,1.24641418155561,0.253569021666294,2.36877815562202,"Error 1","hongkong"
2020-02-02,1.16734942860814,0.281788839005375,2.20167168317,"No misidentification","hongkong"
2020-02-02,1.16961382022422,0.266354937726331,2.18404240733118,"Error 2","hongkong"
2020-02-02,1.39329590616096,0.439828704398182,2.50395815571841,"Error 1","hongkong"
2020-02-03,1.11568998185802,0.269318660698244,2.10423972467605,"No misidentification","hongkong"
