"dates","means","Type","country","Low","High","zeta_0_true","xi_0_true","zeta_1_true","xi_1_true"
2020-01-19,1.00009285858057,"Misidentified_Bayesian","australia",0.000105476425902094,2.99685302859611,2,18,4,8
2020-01-19,NA,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-19,NA,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-20,0.89406499340524,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-20,1,"Misidentified_EpiEstim(no sliding)","australia",6.34421478143732e-09,2.99573240043829,2,18,4,8
2020-01-20,2.01764864058305,"Misidentified_Bayesian","australia",0.953386835291024,3.86859899886951,2,18,4,8
2020-01-20,NA,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-21,0.541492511598451,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-21,1,"Misidentified_EpiEstim(no sliding)","australia",6.34421478143732e-09,2.99573240043829,2,18,4,8
2020-01-21,2.78429848239756,"Misidentified_Bayesian","australia",0.248540403381451,6.02006644611711,2,18,4,8
2020-01-21,NA,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-22,0,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-22,0.593324338087188,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-22,0.946890118785013,"Misidentified_Bayesian","australia",0.110095512160971,2.59455806318985,2,18,4,8
2020-01-22,1.00290350377391,"Misidentified_EpiEstim(no sliding)","australia",0.000127096234688121,3.00075163101796,2,18,4,8
2020-01-23,0.750762943841478,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-23,0.963858254900336,"Misidentified_Bayesian","australia",0.141161834497289,2.59923479289967,2,18,4,8
2020-01-23,1.01011391175669,"Misidentified_EpiEstim(no sliding)","australia",0.000466002605906865,3.01254171116399,2,18,4,8
2020-01-23,1.04681274900398,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-24,0.45538278740882,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-24,0.68635545955455,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-24,1.01070547101951,"Misidentified_EpiEstim(no sliding)","australia",0.00063483883126415,3.00942653676833,2,18,4,8
2020-01-24,1.05698954148659,"Misidentified_Bayesian","australia",0.208369742319952,2.72132365301889,2,18,4,8
2020-01-25,0.399859897833672,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-25,0.729967146879421,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-25,1.00518342127511,"Misidentified_EpiEstim(no sliding)","australia",0.00126780210529602,2.99067575375018,2,18,4,8
2020-01-25,1.16934013338975,"Misidentified_Bayesian","australia",0.290016994220021,2.85143735876238,2,18,4,8
2020-01-26,0.7879681313956,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-26,0.858950773311061,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-26,0.94552761693556,"Misidentified_Bayesian","australia",0.121950373113136,2.56504971799478,2,18,4,8
2020-01-26,0.998454744055188,"Misidentified_EpiEstim(no sliding)","australia",0.00115526254087125,2.96366609070232,2,18,4,8
2020-01-26,1.02626927582758,"Misidentified_EpiEstim(weekly sliding)","australia",0.00404026054422535,2.99713041226427,2,18,4,8
2020-01-27,0.62448866908002,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-27,0.880790018512448,"Misidentified_Bayesian","australia",0.0849313326820657,2.45174235610608,2,18,4,8
2020-01-27,0.881843454197201,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-27,0.992064272663151,"Misidentified_EpiEstim(no sliding)","australia",0.00212820569207548,2.93233322754728,2,18,4,8
2020-01-27,1.01957378924113,"Misidentified_EpiEstim(weekly sliding)","australia",0.00682359579740367,2.94627986399108,2,18,4,8
2020-01-28,0.707386653385504,"True(GI, infected)","australia",NA,NA,NA,NA,NA,NA
2020-01-28,0.845689304764038,"True(SI, diagnosed)","australia",NA,NA,NA,NA,NA,NA
2020-01-28,0.902125728677172,"Misidentified_Bayesian","australia",0.0960297452930642,2.46952712103883,2,18,4,8
2020-01-28,0.986296481282225,"Misidentified_EpiEstim(no sliding)","australia",0.00265275602516867,2.89975111518098,2,18,4,8
